training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
121.74222,0.21976092,4.4796596,0.15898745,-0.16175225,29.252344,-123.502686,5.0728755,-123.502686,-144.26929,2.850184,-123.02922,-143.39711,128.41948,0.007758497881889343,77.58499264717102,10000
122.90784,0.22521022,3.133067,0.24448405,-0.23545258,32.544357,-124.158745,-40.21025,-124.158745,-146.81131,-49.217976,-123.895096,-146.62971,128.29301,0.008797011137008667,165.55511116981506,20000
128.52876,0.19449554,3.3461595,0.2607385,-0.28311217,24.882303,-129.15927,-28.954042,-129.15927,-152.9203,-31.345312,-128.52876,-151.8997,133.81989,0.010537035512924195,270.92547035217285,30000
130.09483,0.23635268,2.7737968,0.2438341,-0.25389326,26.825573,-130.49242,5.916963,-130.49242,-153.817,-3.0044143,-130.09483,-154.50154,135.23216,0.011246973085403442,383.3952126502991,40000
130.17233,0.2163153,2.4115536,0.39962718,-0.36459237,23.909357,-131.2219,-31.706085,-131.2219,-155.5332,-33.601723,-130.67108,-153.91917,134.74704,0.011243905329704285,495.8342761993408,50000
133.79669,0.1905134,1.7766476,0.19679537,-0.1760267,16.384552,-135.4044,-46.851418,-135.4044,-162.52968,-51.423504,-134.33344,-162.03113,137.47847,0.011239926171302796,608.2335441112518,60000
136.82304,0.22060145,2.6259348,0.4216043,-0.43447334,30.140514,-137.57088,-47.990414,-137.57088,-169.2138,-50.10107,-136.82304,-168.58118,141.65498,0.011239315724372863,720.6267051696777,70000
130.70418,0.18977761,1.9755315,0.24507254,-0.33488688,17.602829,-132.94878,-41.26879,-132.94878,-170.14119,-43.333332,-132.57806,-168.86162,134.57748,0.011244038915634155,833.0671048164368,80000
137.95235,0.19318607,2.1022975,0.6388648,-0.5285299,18.00558,-138.65494,-49.475624,-138.65494,-169.4375,-51.795685,-137.95235,-169.81488,141.9865,0.011238105845451355,945.4481687545776,90000
139.62833,0.19373725,1.9371828,0.17297778,-0.16100113,15.073889,-140.61316,-42.886513,-140.61316,-177.95743,-44.76053,-139.62833,-177.12529,143.50288,0.011237168097496033,1057.819854259491,100000
141.30464,0.20612621,2.3653705,0.18921408,-0.2020517,25.203499,-142.0993,-45.90643,-142.0993,-178.89093,-46.84245,-141.30464,-177.85144,145.73128,0.011233920764923095,1170.1590704917908,110000
144.62689,0.2053287,1.7183294,0.14097215,-0.12580986,14.696829,-144.96863,-50.995415,-144.96863,-178.39847,-58.48065,-144.62689,-177.98535,148.3985,0.011234551954269409,1282.5045952796936,120000
145.03229,0.19677483,1.5404347,0.15128078,-0.1590576,15.278409,-145.95877,-33.205044,-145.95877,-184.54187,-35.428368,-145.57611,-183.27681,148.54047,0.011231750392913818,1394.8221023082733,130000
