training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
115.00061,0.22623295,4.6483216,0.3550166,-0.41423437,37.023308,-115.416504,-11.267521,-115.416504,-136.36885,-12.838782,-115.00061,-136.83745,121.91126,0.010393057942390442,103.93059158325195,10000
116.54538,0.22505692,3.538096,0.16478597,-0.16323441,22.508732,-118.28562,9.525674,-118.28562,-140.05444,8.748032,-117.008255,-139.34326,122.334045,0.009831917524337768,202.24977493286133,20000
122.54359,0.2226566,5.210933,0.66567993,-0.6423156,68.459564,-124.1335,-30.22166,-124.1335,-146.21701,-38.166103,-123.49819,-145.35226,129.98108,0.01082919261455536,310.5417129993439,30000
125.37788,0.2231729,3.993,0.60072815,-0.5138444,38.696968,-126.66982,-31.904625,-126.66982,-148.56221,-35.38129,-125.37788,-147.86852,131.6026,0.011504816913604736,425.5898880958557,40000
124.76993,0.19519117,2.6181579,0.20069502,-0.22701024,22.206522,-125.899124,9.131868,-125.899124,-154.17157,6.7464294,-124.76993,-153.20132,129.34,0.011500513172149658,540.595025062561,50000
126.1707,0.22923602,4.095449,0.39686212,-0.39188886,24.997896,-127.6416,-43.94786,-127.6416,-153.69116,-49.338467,-126.7058,-153.35991,132.5585,0.011488445687294006,655.479489326477,60000
129.07204,0.198238,3.397894,1.3796744,-1.2509559,51.18912,-129.77466,-34.218513,-129.77466,-157.49623,-42.521748,-129.07204,-157.21776,134.4523,0.01149856550693512,770.465149641037,70000
127.483765,0.20229533,2.548542,1.0791426,-1.1021308,43.00902,-127.88821,-3.2684224,-127.88821,-160.76953,-5.0702953,-127.483765,-157.97386,132.05525,0.011502522158622741,885.4903786182404,80000
134.482,0.2167503,2.417589,0.4048408,-0.2946047,28.10599,-134.98306,-58.28857,-134.98306,-163.15672,-59.94867,-134.482,-161.66039,139.06708,0.011496948504447936,1000.4598746299744,90000
133.6907,0.19327338,2.097255,0.30347896,-0.38668647,22.380787,-134.92216,-7.58134,-134.92216,-170.85696,-12.686331,-134.18001,-169.52599,137.7207,0.01149794430732727,1115.4393253326416,100000
134.33131,0.19285801,2.2299535,0.7283294,-0.69864863,26.689177,-135.2998,4.117112,-135.2998,-173.5044,1.3931442,-134.33131,-172.48814,138.48984,0.011499751162528991,1230.4368469715118,110000
135.61667,0.23048003,2.023665,0.118343264,-0.09589872,16.135313,-136.484,-38.523113,-136.484,-174.63008,-43.962616,-135.61667,-173.54839,139.94513,0.011487321615219117,1345.310068845749,120000
136.35712,0.21283793,1.8895943,0.13731986,-0.14428972,16.025908,-137.72617,-53.99703,-137.72617,-178.17648,-55.936054,-136.8558,-177.06969,140.37508,0.011489754796028137,1460.207624912262,130000
136.61804,0.19882517,1.7163105,0.09694084,-0.09703558,12.494564,-137.68155,-41.00841,-137.68155,-177.6444,-45.080757,-137.11598,-174.27132,140.3226,0.011494770288467408,1575.1553361415863,140000
138.32666,0.20170742,1.9733696,0.25774384,-0.13634613,18.0831,-139.50955,-35.461727,-139.50955,-180.79361,-34.393303,-138.83565,-179.58556,142.31711,0.011498936009407044,1690.1447005271912,150000
139.91151,0.22408435,1.7301276,0.14716077,-0.15880619,15.519021,-140.44652,-55.03555,-140.44652,-177.88066,-45.139145,-139.91151,-176.73021,143.88249,0.011500607705116272,1805.150782585144,160000
145.2241,0.19329064,1.6767925,0.33338812,-0.30914408,14.907631,-145.6505,-67.417854,-145.6505,-183.34659,-67.89782,-145.2241,-181.52368,148.8338,0.011498961567878723,1920.1404058933258,170000
143.54376,0.22657302,2.089619,0.17963177,-0.17477942,17.103683,-144.19926,-75.926056,-144.19926,-185.42186,-80.98057,-143.54376,-184.33089,147.89911,0.011501790738105774,2035.158317565918,180000
140.95135,0.19785118,1.7638721,0.18247005,-0.19458078,15.18276,-141.86217,-51.99868,-141.86217,-187.13937,-56.98689,-141.23177,-186.45003,144.69374,0.01149554479122162,2150.1137726306915,190000
145.1691,0.20466642,1.5301629,0.13137865,-0.13439614,14.783105,-145.50179,6.6195273,-145.50179,-182.31773,0.54899096,-145.1691,-181.73253,148.74593,0.011495893812179565,2265.072714805603,200000
145.78226,0.19086327,2.133523,0.7913884,-0.6630686,24.717659,-146.83356,1.9661789,-146.83356,-184.39879,-0.13550785,-146.36194,-183.41614,149.82442,0.01149701316356659,2380.0428545475006,210000
148.64764,0.18352143,1.2667264,0.13629603,-0.13868089,15.639811,-150.66148,-31.308475,-150.66148,-184.40846,-36.10925,-149.8941,-184.12283,151.74959,0.011498710751533508,2495.0299706459045,220000
146.55048,0.19884236,1.2979603,0.17127328,-0.17217125,14.499386,-147.91405,-6.4526734,-147.91405,-184.60625,-13.582206,-147.39557,-183.84839,149.83685,0.011498582696914672,2610.0158019065857,230000
