training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
43.713303,0.38552088,3.097886,0.16969728,-0.21947226,17.200203,-45.53954,-27.78547,-45.53954,-53.834316,-24.94464,-43.713303,-51.923687,47.19671,0.010236918807029724,102.36919474601746,10000
73.77979,0.25299188,3.3790882,0.22332923,-0.22093154,23.346657,-74.109276,-19.130455,-74.109276,-85.60805,-14.387955,-73.77979,-84.992,77.41187,0.008168751001358032,184.05670952796936,20000
70.6767,0.29447275,3.753188,0.38646874,-0.31892654,31.507544,-71.67468,-0.14460751,-71.67468,-89.836235,-2.3819656,-70.82587,-88.97359,74.72436,0.007945842289924622,263.51513934135437,30000
66.57918,0.29352248,1.9270626,0.17444564,-0.11768681,14.642886,-67.632256,0.9357629,-67.632256,-90.2788,0.41719413,-66.57918,-89.740715,68.79977,0.008004719662666322,343.5623404979706,40000
68.277435,0.31093794,1.2071384,0.058978707,-0.08095241,10.020767,-69.127495,-11.296501,-69.127495,-90.34139,-12.452245,-68.277435,-89.50558,69.79551,0.00797728214263916,423.3351674079895,50000
68.3931,0.27963528,1.3948299,0.07632629,-0.07052738,10.308516,-69.46781,-17.537535,-69.46781,-92.73879,-17.037222,-68.3931,-92.399574,70.06756,0.008318326711654663,506.5184395313263,60000
68.667114,0.30543017,1.1828436,0.4202737,-0.49006656,16.603771,-69.605774,2.249236,-69.605774,-92.83105,0.64130783,-68.667114,-92.32361,70.15539,0.009701737356185913,603.5358176231384,70000
66.951324,0.31271043,1.1405879,0.112583965,-0.13997371,11.003113,-68.2472,-20.521587,-68.2472,-93.748375,-21.686516,-66.951324,-93.41256,68.404625,0.009705185627937317,700.5876777172089,80000
68.787834,0.35476843,0.93383324,0.05661096,-0.12430347,8.662331,-70.36012,-18.677832,-70.36012,-91.96223,-15.127257,-68.787834,-91.744026,70.07643,0.00969779715538025,797.5656540393829,90000
67.234665,0.38117945,0.7707391,0.094444364,-0.13431475,8.354992,-68.94075,-15.712671,-68.94075,-94.856865,-16.474155,-67.572876,-93.61095,68.38658,0.009162459564208985,889.1902558803558,100000
69.7077,0.3506018,0.8769046,0.11349525,-0.118827134,8.4860325,-71.056526,-19.285618,-71.056526,-92.36837,-21.107471,-69.7077,-91.48593,70.93521,0.00898496479988098,979.039913892746,110000
68.08952,0.37395558,0.7028545,0.07672709,-0.06796707,7.0700474,-69.286354,-11.998298,-69.286354,-93.8095,-12.855847,-68.08952,-93.52377,69.166336,0.009700914263725281,1076.0490636825562,120000
67.74411,0.32657784,0.7806288,0.13557932,-0.10940853,8.91911,-68.91706,-20.841846,-68.91706,-91.28616,-13.683067,-67.74411,-90.72881,68.85132,0.009701631498336792,1173.0653846263885,130000
69.12926,0.38075712,0.75235397,0.20291714,-0.16742851,9.553275,-70.15557,-23.825115,-70.15557,-91.661545,-23.594074,-69.12926,-90.15051,70.262375,0.009694004321098328,1270.005431175232,140000
68.253975,0.28812516,0.40030298,0.08194786,-0.053857148,5.5911894,-70.013725,-8.591895,-70.013725,-93.816696,-9.45651,-68.52491,-91.346886,68.942406,0.009701523470878602,1367.0206699371338,150000
68.62722,0.31249374,0.7039477,0.12186151,-0.17905243,6.8861847,-70.114624,-19.514603,-70.114624,-92.27234,-22.072172,-68.90068,-91.76514,69.64366,0.00938771002292633,1460.8977763652802,160000
69.24027,0.31872833,0.8842215,0.18620983,-0.26405764,9.898094,-70.575325,0.21630779,-70.575325,-97.561676,0.16268499,-69.24027,-97.34819,70.44322,0.007983337593078614,1540.7311570644379,170000
67.65385,0.4838765,0.8474825,0.16951634,-0.22796175,8.848174,-69.523926,-29.437517,-69.523926,-96.93965,-29.167053,-67.65385,-96.48199,68.98521,0.00800346827507019,1620.7658438682556,180000
68.33017,0.38350302,0.65213853,0.09945124,-0.13921462,6.583995,-69.99218,-10.365706,-69.99218,-94.32388,-10.188124,-68.929825,-93.607315,69.365814,0.008000190210342407,1700.7677493095398,190000
67.85716,0.38431898,0.28788573,0.11878576,-0.097055376,5.2781982,-69.00317,0.58267206,-69.00317,-92.53543,0.24526413,-67.85716,-90.765625,68.529366,0.008739057064056397,1788.1583240032196,200000
68.71141,0.37357923,0.4469234,0.11024561,-0.11092418,6.079135,-69.92425,1.0762311,-69.92425,-98.80825,0.73619455,-68.71141,-98.46772,69.53191,0.010502886629104615,1893.1871945858002,210000
