training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
43.297783,0.5208579,0.12319078,0.18283981,-0.084261686,3.6570952,-43.32913,-6.78125,-43.32913,-47.40172,-6.8128037,-43.297783,-47.36566,43.577232,0.012039703798294067,120.39705038070679,10000
74.66993,0.47290558,0.2600114,0.30584168,-0.34255946,8.219957,-74.7405,-11.932151,-74.7405,-82.443344,-13.366546,-74.66993,-82.365166,75.07181,0.01139271092414856,234.32416677474976,20000
89.60776,0.47185534,0.5500075,0.2990126,-0.3524072,16.270203,-89.7404,-2.9323256,-89.7404,-109.530556,-3.9116757,-89.60776,-109.49068,90.299324,0.011387615537643433,348.20033264160156,30000
94.80609,0.48087016,0.49268088,0.7045867,-0.47477466,11.200684,-94.99081,-1.984858,-94.99081,-130.00514,-2.1693046,-94.80609,-129.95145,95.44304,0.011386428618431092,462.0646300315857,40000
103.90793,0.4985263,0.355342,0.2703416,-0.14711134,5.126185,-104.036865,-1.666344,-104.036865,-140.75021,-2.338758,-103.90793,-140.618,104.41283,0.011385152196884156,575.9161627292633,50000
110.138,0.43642476,0.35464135,0.14728042,-0.17699839,9.283347,-110.30247,-1.4502358,-110.30247,-149.68108,-1.6994199,-110.138,-149.57878,110.62357,0.01138119342327118,689.728107213974,60000
110.49745,0.48654494,0.38186634,0.152816,-0.20283994,7.227377,-110.64412,-1.0407336,-110.64412,-156.96895,-1.3390498,-110.49745,-156.85362,111.02528,0.011380073237419129,803.5288469791412,70000
115.17691,0.42529353,0.3369715,0.18817192,-0.1698,5.8789263,-115.33318,-2.397636,-115.33318,-161.67424,-2.9697168,-115.17691,-161.48204,115.64147,0.011378465938568115,917.313515663147,80000
114.5287,0.49500984,0.3352563,0.19767255,-0.1017504,7.0035796,-114.6969,-1.3643631,-114.6969,-167.7097,-1.7460572,-114.5287,-167.64134,115.01247,0.011375527572631836,1031.0688045024872,90000
119.03008,0.44725788,0.37817317,0.09953814,-0.15265292,5.2229342,-119.220215,-3.703378,-119.220215,-169.90466,-4.127343,-119.03008,-169.58725,119.542435,0.011382218027114869,1144.8909935951233,100000
120.71212,0.47248977,0.31966928,0.19513129,-0.25741887,6.8515735,-120.85197,-3.2819827,-120.85197,-170.95457,-4.044858,-120.71212,-170.63289,121.17354,0.011381245350837708,1258.703454732895,110000
118.39303,0.45895758,0.21850677,0.12287455,-0.13934436,4.9350977,-118.53991,0.4320013,-118.53991,-172.13693,0.012944457,-118.39303,-171.88075,118.74922,0.011387194037437438,1372.575406074524,120000
124.794754,0.4576492,0.31901276,0.21336189,-0.16386534,6.6197786,-124.93031,-11.973986,-124.93031,-176.30739,-12.493703,-124.794754,-176.17636,125.25107,0.01138550317287445,1486.430448293686,130000
124.562744,0.39766812,0.2942798,0.23646893,-0.3407234,7.384838,-124.73909,-2.0089495,-124.73909,-178.50764,-2.846114,-124.562744,-178.33434,124.976326,0.01140495891571045,1600.4800543785095,140000
124.952034,0.46022594,0.29192826,0.10414019,-0.23828216,7.4693656,-125.09365,-14.320842,-125.09365,-180.30907,-14.951695,-124.952034,-180.08824,125.382034,0.011398159313201905,1714.461655139923,150000
128.02888,0.47634217,0.23999165,0.102205314,-0.13083188,5.3498554,-128.1833,-26.873943,-128.1833,-182.15189,-27.312714,-128.02888,-181.91418,128.41177,0.011383547282218933,1828.2971394062042,160000
131.70113,0.4062451,0.28149638,0.26559782,-0.13360381,5.7216935,-131.84903,-0.9586635,-131.84903,-184.84177,-2.9214146,-131.70113,-184.64552,132.10449,0.01137660241127014,1942.063170671463,170000
128.25174,0.44109753,0.30004618,0.15535593,-0.21553719,6.7316036,-128.3914,-1.4230065,-128.3914,-184.67528,-2.2261598,-128.25174,-184.53918,128.68411,0.01138080666065216,2055.8712475299835,180000
132.8205,0.5022672,0.30175963,0.18128102,-0.1973419,5.8833075,-132.92923,-11.413175,-132.92923,-187.10466,-12.851148,-132.8205,-186.95152,133.27293,0.011377567148208619,2169.64693069458,190000
133.71216,0.44956473,0.2691923,0.1645079,-0.14612874,5.669749,-133.833,-3.9041772,-133.833,-188.00589,-5.5398707,-133.71216,-187.85469,134.11623,0.011378717827796937,2283.434125185013,200000
138.98386,0.43712217,0.7570125,2.6803353,-1.4384875,25.18513,-139.12341,-5.76631,-139.12341,-188.33676,-7.6962733,-138.98386,-188.1671,139.87201,0.011381896448135377,2397.2530965805054,210000
136.70831,0.42405042,0.2669892,0.5785907,-0.76500535,6.598877,-136.79329,-0.067012265,-136.79329,-187.84898,-0.8633978,-136.70831,-187.69748,137.10251,0.011378135204315186,2511.0344552993774,220000
138.0497,0.41895598,0.18710983,0.29997778,-0.11365046,9.395221,-138.14339,-10.508216,-138.14339,-189.57397,-14.269336,-138.0497,-189.43474,138.36249,0.011378860926628112,2624.823077440262,230000
136.4792,0.48084837,0.22378826,0.19704673,-0.11816872,6.573147,-136.57298,-0.7998153,-136.57298,-190.4801,-2.6310601,-136.4792,-190.18523,136.84724,0.011380198335647584,2738.625071287155,240000
143.22046,0.40629524,0.21066928,0.2515393,-0.11583159,5.0634856,-143.32805,-10.54855,-143.32805,-191.62708,-11.622169,-143.22046,-191.4256,143.55301,0.011377949285507203,2852.4045917987823,250000
