training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
43.269928,0.49762458,0.10702174,0.0761757,-0.049864657,3.2126815,-43.309616,-3.8733494,-43.309616,-47.117798,-4.354286,-43.269928,-47.090004,43.526237,0.010182433319091798,101.8243465423584,10000
73.816925,0.5226671,0.22437282,0.087500446,-0.091159016,4.150941,-73.88747,-2.2671237,-73.88747,-81.88426,-2.3780162,-73.816925,-81.85499,74.1981,0.009611832094192505,197.94267654418945,20000
89.19028,0.48061708,0.48026726,0.1513116,-0.17827734,7.0270224,-89.366425,-2.152845,-89.366425,-108.46557,-2.048776,-89.19028,-108.42429,89.814735,0.009609111428260804,294.0337953567505,30000
97.06995,0.5115823,0.33598098,0.085343145,-0.11272303,6.3205137,-97.250046,-3.454463,-97.250046,-129.18983,-4.065496,-97.06995,-129.12912,97.5594,0.010019672942161561,394.2305293083191,40000
102.470924,0.5095926,0.4587619,0.33480132,-0.29120332,10.719879,-102.642334,-6.755919,-102.642334,-141.73114,-7.0108194,-102.470924,-141.61433,103.082565,0.00968178105354309,491.04834508895874,50000
105.68869,0.50476784,0.31246683,0.20678034,-0.106160276,7.300722,-105.81669,-7.9641476,-105.81669,-149.65823,-8.554328,-105.68869,-149.5059,106.15259,0.009578338551521301,586.8317358493805,60000
108.9884,0.49914053,0.29509363,0.17734587,-0.20133792,6.5446987,-109.1156,-4.324862,-109.1156,-157.84663,-5.610081,-108.9884,-157.75038,109.43324,0.009571246838569641,682.5442130565643,70000
113.943436,0.4823761,0.49851924,0.15939486,-0.3437311,17.032375,-114.09623,-3.5288866,-114.09623,-163.65031,-4.2906966,-113.943436,-163.5378,114.58667,0.009570840549468993,778.2526240348816,80000
115.84753,0.51725465,0.39536193,0.1822536,-0.2265239,7.2765136,-116.01493,-13.0290365,-116.01493,-167.87807,-14.16806,-115.84753,-167.78201,116.39806,0.008777801918983459,866.0306525230408,90000
121.03313,0.46757582,0.24493046,0.41209444,-0.21329097,7.9627466,-121.17629,-0.3903726,-121.17629,-169.54852,-0.7718532,-121.03313,-169.30093,121.418335,0.007852341294288636,944.554069519043,100000
121.927155,0.47526893,0.697028,1.6052,-0.79598916,17.523838,-122.071655,0.025343,-122.071655,-172.84505,-0.33049595,-121.927155,-172.67139,122.76676,0.008289605569839478,1027.4501285552979,110000
124.1588,0.4180764,0.37531897,0.11436151,-0.15144132,5.957755,-124.2846,-0.30340648,-124.2846,-175.0501,-0.8794689,-124.1588,-174.87383,124.65954,0.009610640716552734,1123.5565407276154,120000
122.287506,0.44601324,0.2339843,0.109168395,-0.117148705,5.8477426,-122.41121,-2.8965135,-122.41121,-179.01797,-4.674331,-122.287506,-178.93925,122.6553,0.009606260371208191,1219.6191492080688,130000
128.1263,0.48857844,0.40083453,0.22442739,-0.29939616,9.133112,-128.22568,-0.6911568,-128.22568,-180.75716,-1.242636,-128.1263,-180.6147,128.6737,0.010362514543533326,1323.2442996501923,140000
130.04965,0.48603934,0.2839551,0.2679501,-0.14625911,7.0654235,-130.19096,-20.675474,-130.19096,-183.19064,-20.531569,-130.04965,-183.11293,130.47942,0.011329361248016357,1436.537918806076,150000
131.23936,0.43305317,0.17551714,0.11970372,-0.16627952,4.8217034,-131.40405,-20.178242,-131.40405,-181.77657,-20.728094,-131.23936,-181.64088,131.5448,0.01132526466846466,1549.790569782257,160000
134.24951,0.46412516,0.20154448,0.098136224,-0.1477547,5.818017,-134.39305,-13.252565,-134.39305,-186.31096,-13.893788,-134.24951,-186.19464,134.59029,0.011324905753135682,1663.0396308898926,170000
137.18307,0.4333146,0.23273721,0.2520248,-0.24845457,6.8897214,-137.28844,-1.6953841,-137.28844,-187.19641,-2.5470953,-137.18307,-186.94676,137.5458,0.011323976564407348,1776.279400587082,180000
135.84607,0.42748094,0.23092166,0.11792259,-0.30893752,8.070092,-135.94551,-9.153923,-135.94551,-187.57889,-9.3579855,-135.84607,-187.37143,136.20525,0.011333316040039062,1889.6125659942627,190000
132.78409,0.41861525,0.2599673,0.14435112,-0.15314467,6.1840954,-132.88446,-0.051369235,-132.88446,-189.10149,-0.09989279,-132.78409,-189.03313,133.16963,0.011320778942108154,2002.8203611373901,200000
136.48495,0.42732713,0.4362549,0.5159789,-0.51299256,14.291206,-136.60454,-12.2761755,-136.60454,-189.57254,-12.870241,-136.48495,-189.24443,137.04941,0.011321861934661866,2116.038985490799,210000
137.1098,0.40110797,0.25924742,0.3170449,-0.4645814,6.666496,-137.22722,0.41910923,-137.22722,-191.75906,-1.1507183,-137.1098,-191.63058,137.48938,0.01132130913734436,2229.252081632614,220000
140.25395,0.44090512,0.22226994,0.16042054,-0.12438444,7.186595,-140.35925,-0.96138966,-140.35925,-192.12021,-1.3093238,-140.25395,-192.00166,140.6085,0.011318184351921081,2342.433929204941,230000
139.26352,0.45464307,0.30575284,0.19783738,-0.16578127,7.6518583,-139.37895,-5.5935125,-139.37895,-192.87215,-6.5431337,-139.26352,-192.68108,139.70567,0.011316655468940735,2455.600489139557,240000
142.94861,0.39679292,0.32682052,0.3827473,-0.8207805,10.195286,-143.0546,-1.6756477,-143.0546,-192.43489,-2.3602655,-142.94861,-192.2957,143.39447,0.011318906569480897,2568.7895629405975,250000
140.01071,0.41942698,0.2916717,0.19498314,-0.23391894,6.160965,-140.15002,-0.5115118,-140.15002,-193.69221,-1.6718123,-140.01071,-193.59248,140.4282,0.01132651720046997,2682.054738521576,260000
