training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
113.93106,0.2152367,4.4189324,0.2865419,-0.28859782,35.59548,-114.62191,-26.008425,-114.62191,-135.60197,-31.990442,-113.93106,-134.7524,120.50236,0.008962703132629394,89.62704157829285,10000
119.630844,0.24805664,3.2627244,0.14987126,-0.14912619,22.54747,-120.106834,-32.750744,-120.106834,-142.53319,-37.53312,-119.630844,-141.95276,125.37414,0.011393797969818115,203.56502771377563,20000
123.73018,0.25297663,3.0780988,0.3224092,-0.28672034,28.083656,-125.19075,9.572929,-125.19075,-147.49765,6.788137,-124.23644,-145.0139,129.33804,0.011394823479652405,317.51326751708984,30000
123.32866,0.2080822,2.8015497,0.24194583,-0.22448468,27.62786,-124.25829,-34.542183,-124.25829,-151.03453,-37.1167,-123.32866,-148.38826,128.21103,0.011392292475700378,431.43620109558105,40000
125.68305,0.20043191,2.295384,0.36735353,-0.4081305,27.855661,-126.04622,-38.785046,-126.04622,-150.6434,-48.694916,-125.68305,-148.65372,129.98276,0.011392714095115662,545.3633472919464,50000
127.39923,0.21610084,3.0659885,0.22588398,-0.26810268,25.119415,-128.35338,-26.942896,-128.35338,-155.68687,-32.40874,-127.39923,-154.88638,132.62624,0.011390746450424195,659.2708158493042,60000
132.99423,0.21719688,1.8942353,0.40438867,-0.3020515,18.447865,-134.03267,-63.248024,-134.03267,-159.81131,-66.03744,-132.99423,-158.58394,137.06044,0.011387185406684876,773.1426742076874,70000
130.68198,0.19736102,1.8121598,0.24638191,-0.25720167,20.923264,-131.29272,9.487745,-131.29272,-161.59178,7.623182,-130.68198,-161.52965,134.46776,0.011382399034500123,886.9666690826416,80000
134.40668,0.20240177,2.3300543,0.5321428,-0.522537,25.17964,-135.08974,-39.6303,-135.08974,-164.22876,-41.31738,-134.40668,-163.18555,138.76074,0.011384301114082337,1000.809684753418,90000
133.7024,0.2304684,1.570952,0.1974564,-0.19716059,14.774912,-135.09924,6.066651,-135.09924,-167.74924,3.8309085,-134.23587,-165.54663,137.57803,0.011383577108383178,1114.6454601287842,100000
139.19563,0.23356792,1.4524568,0.17164527,-0.16531196,14.939154,-139.4899,-45.6742,-139.4899,-173.14166,-51.310543,-139.19563,-171.75461,142.98376,0.011381712770462037,1228.4625933170319,110000
137.9495,0.19620824,2.0331903,0.1257043,-0.12800267,13.966085,-138.56522,4.503477,-138.56522,-174.87862,2.5356188,-137.9495,-173.96739,141.94476,0.011379040884971619,1342.253008365631,120000
138.8631,0.21867125,2.2648227,0.1705127,-0.18323982,20.226566,-139.33716,-15.566415,-139.33716,-183.18738,-17.175177,-138.8631,-181.84135,143.31462,0.011376580095291139,1456.0188138484955,130000
141.56796,0.2207583,1.5740159,0.13895966,-0.14218423,13.80292,-142.11525,-40.24105,-142.11525,-177.61276,-50.692516,-141.56796,-176.5131,145.34956,0.011374048924446106,1569.7593064308167,140000
142.6441,0.16026603,2.0414064,0.14822195,-0.18574013,16.317598,-143.94934,-51.841835,-143.94934,-185.70274,-55.332325,-143.14993,-184.6298,146.28818,0.011377777910232544,1683.537090063095,150000
144.53165,0.18706942,1.9799156,0.14127329,-0.13945259,13.292878,-145.51904,-67.891,-145.51904,-183.25526,-73.04263,-145.156,-181.46558,148.38226,0.011379794144630431,1797.3350367546082,160000
143.52179,0.19549336,2.0471764,0.2960359,-0.25334474,16.274374,-144.21063,-52.250607,-144.21063,-185.71936,-56.415993,-143.52179,-184.89645,147.52391,0.011376217460632325,1911.0972158908844,170000
144.1092,0.19217159,1.7391983,0.117305346,-0.1208959,14.130403,-144.90953,-51.91801,-144.90953,-182.50023,-54.648853,-144.1092,-181.91576,147.77013,0.011374314308166504,2024.8403642177582,180000
